Player,#,Nation,Pos,Team,GameID,Min,CrdY,CrdR,2CrdY,Fls,FlsDrawn,Offside,Crosses,Interception,TklW,PKwon,PKcon,OG,Recov,AerialWon,AerialLost,AerialWon%
Raúl Ruidíaz\Raul-Ruidiaz,9,pe PER,FW,SEA,4,90,0,0,0,1,0,2,1,0,2,0,0,0,7,1,1,50
Jordan Morris\Jordan-Morris,13,us USA,LWCM,SEA,4,76,0,0,0,0,0,0,0,0,3,0,0,0,5,1,0,100
Nouhou Tolo\Nouhou-Tolo,5,cm CMR,LBWBCM,SEA,4,14,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,
Joevin Jones\Joevin-Jones,33,tt TRI,RWDM,SEA,4,64,0,0,0,1,0,0,1,0,0,0,0,0,5,1,0,100
Jordy Delem\Jordy-Delem,21,mq MTQ,DMCM,SEA,4,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Nicolás Lodeiro\Nicolas-Lodeiro,10,uy URU,AM,SEA,4,90,0,0,0,3,4,1,2,2,3,0,0,0,5,2,2,50
Cristian Roldan\Cristian-Roldan,7,us USA,CMRW,SEA,4,90,0,0,0,1,4,0,0,2,5,0,0,0,11,0,6,0
Gustav Svensson\Gustav-Svensson,4,se SWE,DM,SEA,4,90,0,0,0,2,0,0,0,1,5,0,0,0,11,1,1,50
Brad Smith\Brad-Smith,11,au AUS,LBLW,SEA,4,88,0,0,0,0,1,0,2,2,2,0,0,0,7,0,1,0
Román Torres\Roman-Torres,29,pa PAN,CB,SEA,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Xavier Arreaga\Xavier-Arreaga,25,ec ECU,CB,SEA,4,90,0,0,0,0,0,0,0,2,1,0,0,0,7,4,2,66.7
Kim Kee-hee\Kim-Kee-hee,20,kr KOR,CB,SEA,4,90,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,100
Kelvin Leerdam\Kelvin-Leerdam,18,nl NED,RB,SEA,4,90,1,0,0,3,0,0,1,3,4,0,0,0,5,1,0,100
Stefan Frei\Stefan-Frei,24,ch SUI,GK,SEA,4,90,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,
Carlos Vela\Carlos-Vela,10,mx MEX,FWRWAM,LAFC,4,90,0,0,0,0,4,0,11,0,0,0,0,0,3,1,1,50
Brian Rodríguez\Brian-Rodriguez,17,uy URU,LWRW,LAFC,4,53,0,0,0,1,2,0,2,0,1,0,0,0,3,0,1,0
Adama Diomande\Adama-Diomande,99,no NOR,FW,LAFC,4,37,0,0,0,0,0,0,1,0,0,0,0,0,4,2,0,100
Diego Rossi\Diego-Rossi,9,uy URU,RWLWCM,LAFC,4,90,0,0,0,0,0,1,1,0,0,0,0,0,7,1,1,50
Lee Nguyen\Lee-Nguyen,24,us USA,CM,LAFC,4,77,0,0,0,0,2,0,0,0,0,0,0,0,9,0,0,
Adrien Perez\Adrien-Perez,26,us USA,CM,LAFC,4,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Latif Blessing\Latif-Blessing,7,gh GHA,CM,LAFC,4,45,0,0,0,0,1,0,0,2,0,0,0,0,8,0,0,
Mark-Anthony Kaye\Mark-Anthony-Kaye,14,ca CAN,CMDM,LAFC,4,45,0,0,0,2,1,0,0,1,2,0,0,0,6,4,1,80
Eduard Atuesta\Eduard-Atuesta,20,co COL,DM,LAFC,4,90,0,0,0,4,0,0,0,6,2,0,0,0,15,1,1,50
Jordan Harvey\Jordan-Harvey,2,us USA,LB,LAFC,4,90,0,0,0,0,1,0,3,2,1,0,0,0,19,3,1,75
Eddie Segura\Eddie-Segura,4,co COL,CB,LAFC,4,90,0,0,0,1,0,0,0,1,1,0,0,0,10,0,3,0
Walker Zimmerman\Walker-Zimmerman,25,us USA,CB,LAFC,4,90,0,0,0,0,0,0,0,1,4,0,0,0,17,2,1,66.7
Tristan Blackmon\Tristan-Blackmon,27,us USA,RB,LAFC,4,90,0,0,0,1,1,0,0,2,1,0,0,0,10,0,1,0
Tyler Miller\Tyler-Miller,1,us USA,GK,LAFC,4,90,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
