Player,#,Nation,Pos,Team,GameID,Min,Ttl_Pass_Cmp,Ttl_Pass_Att,Ttl_Pass_Cmp%,TotPassDist,PassPrgDist,ShrtPass_Cmp,ShrtPass_Att,ShrtPass_Cmp%,MedPass_Cmp,MedPass_Att,MedPass_Cmp%,LngPass_Cmp,LngPass_Att,LngPass_Cmp%,Ast,xA,KeyPass,PassToFinalThird,PassToPA,CrsToPA,PassProg
Jordan Morris\Jordan-Morris,13,us USA,FW,SEA,2,68,16,17,94.1,363,18,1,1,100,10,11,90.9,5,5,100,0,0,0,1,0,0,0
Henry Wingo\Henry-Wingo,23,us USA,FW,SEA,2,22,2,3,66.7,20,11,0,0,,2,3,66.7,0,0,,0,0,0,0,1,0,1
Víctor Rodríguez\Victor-Rodriguez,8,es ESP,LW,SEA,2,64,14,20,70,223,86,0,1,0,13,15,86.7,1,4,25,1,0.4,2,1,2,1,3
Nouhou Tolo\Nouhou-Tolo,5,cm CMR,LBLW,SEA,2,26,11,13,84.6,169,38,0,0,,11,12,91.7,0,1,0,0,0,0,0,0,0,0
Harry Shipp\Harry-Shipp,19,us USA,RW,SEA,2,90,17,27,63,280,135,0,3,0,15,19,78.9,2,5,40,0,0.1,1,1,1,0,3
Nicolás Lodeiro\Nicolas-Lodeiro,10,uy URU,AM,SEA,2,90,31,52,59.6,519,144,2,6,33.3,26,37,70.3,3,9,33.3,0,0,0,3,2,0,5
Cristian Roldan\Cristian-Roldan,7,us USA,CM,SEA,2,90,38,51,74.5,715,215,0,4,0,27,33,81.8,11,14,78.6,0,0,1,6,1,0,4
Gustav Svensson\Gustav-Svensson,4,se SWE,CMCB,SEA,2,90,36,39,92.3,785,209,0,1,0,25,25,100,11,13,84.6,0,0,0,4,0,0,2
Brad Smith\Brad-Smith,11,au AUS,LBLW,SEA,2,90,29,40,72.5,580,217,0,2,0,25,30,83.3,4,8,50,0,0,0,4,0,0,5
Kim Kee-hee\Kim-Kee-hee,20,kr KOR,CB,SEA,2,64,26,29,89.7,532,131,0,0,,19,20,95,7,9,77.8,0,0,0,1,0,0,2
Jordy Delem\Jordy-Delem,21,mq MTQ,CM,SEA,2,26,16,19,84.2,314,98,0,1,0,11,12,91.7,5,6,83.3,0,0,0,5,0,0,2
Román Torres\Roman-Torres,29,pa PAN,CB,SEA,2,90,24,31,77.4,685,311,0,2,0,10,11,90.9,14,18,77.8,0,0,0,1,0,0,2
Kelvin Leerdam\Kelvin-Leerdam,18,nl NED,RB,SEA,2,90,34,44,77.3,679,156,0,0,,26,30,86.7,8,14,57.1,0,0,0,1,1,0,5
Stefan Frei\Stefan-Frei,24,ch SUI,GK,SEA,2,90,20,32,62.5,754,478,0,0,,5,5,100,15,27,55.6,0,0,0,0,0,0,0
Christian Ramirez\Christian-Ramirez,21,us USA,FW,LAFC,2,80,25,28,89.3,348,67,2,2,100,21,22,95.5,2,4,50,0,0.5,1,1,2,0,4
Adrien Perez\Adrien-Perez,26,us USA,RWFW,LAFC,2,10,1,2,50,27,26,0,0,,0,1,0,1,1,100,0,0,1,1,1,0,1
Diego Rossi\Diego-Rossi,9,uy URU,LW,LAFC,2,90,43,48,89.6,674,172,0,3,0,37,38,97.4,6,7,85.7,0,0,1,3,2,0,5
Carlos Vela\Carlos-Vela,10,mx MEX,RWFW,LAFC,2,90,26,34,76.5,379,84,0,3,0,25,26,96.2,1,5,20,0,0,0,1,1,1,4
Mark-Anthony Kaye\Mark-Anthony-Kaye,14,ca CAN,CM,LAFC,2,90,48,58,82.8,897,384,0,1,0,35,41,85.4,13,16,81.3,3,0.4,4,7,2,0,12
Latif Blessing\Latif-Blessing,7,gh GHA,CMRB,LAFC,2,90,60,72,83.3,1042,241,1,2,50,51,59,86.4,8,11,72.7,0,0.7,2,3,2,0,3
Eduard Atuesta\Eduard-Atuesta,20,co COL,DM,LAFC,2,89,71,77,92.2,1300,383,1,1,100,54,57,94.7,16,19,84.2,1,0.9,3,8,2,0,8
Peter-Lee Vassell\Peter-Lee-Vassell,11,jm JAM,DM,LAFC,2,1,1,1,100,6,6,0,0,,1,1,100,0,0,,0,0,0,0,0,0,0
Jordan Harvey\Jordan-Harvey,2,us USA,LB,LAFC,2,90,59,66,89.4,1040,473,1,1,100,51,54,94.4,7,11,63.6,0,0,1,2,1,0,7
Eddie Segura\Eddie-Segura,4,co COL,CB,LAFC,2,90,49,51,96.1,886,368,1,2,50,39,40,97.5,9,9,100,0,0,0,1,0,0,2
Walker Zimmerman\Walker-Zimmerman,25,us USA,CB,LAFC,2,90,54,60,90,1069,387,1,1,100,39,41,95.1,14,18,77.8,0,0,0,1,0,0,5
Steven Beitashour\Steven-Beitashour,3,ir IRN,RB,LAFC,2,80,37,41,90.2,662,145,0,0,,29,32,90.6,8,9,88.9,0,0,0,4,0,0,2
Lee Nguyen\Lee-Nguyen,24,us USA,CMRB,LAFC,2,10,18,18,100,333,38,0,0,,14,14,100,4,4,100,0,0,0,2,0,0,0
Tyler Miller\Tyler-Miller,1,us USA,GK,LAFC,2,90,19,23,82.6,541,303,0,0,,9,10,90,10,13,76.9,0,0,0,0,0,0,0
