Player,#,Nation,Pos,Team,GameID,Min,Ttl_Pass_Cmp,Ttl_Pass_Att,Ttl_Pass_Cmp%,TotPassDist,PassPrgDist,ShrtPass_Cmp,ShrtPass_Att,ShrtPass_Cmp%,MedPass_Cmp,MedPass_Att,MedPass_Cmp%,LngPass_Cmp,LngPass_Att,LngPass_Cmp%,Ast,xA,KeyPass,PassToFinalThird,PassToPA,CrsToPA,PassProg
Raúl Ruidíaz\Raul-Ruidiaz,9,pe PER,FW,SEA,4,90,23,28,82.1,343,83,2,3,66.7,18,20,90,3,5,60,0,0.5,3,1,1,0,2
Jordan Morris\Jordan-Morris,13,us USA,LWCM,SEA,4,76,21,28,75,273,164,0,3,0,21,24,87.5,0,1,0,0,0,1,0,1,0,4
Nouhou Tolo\Nouhou-Tolo,5,cm CMR,LBWBCM,SEA,4,14,1,2,50,13,9,0,0,,1,1,100,0,1,0,0,0,0,0,0,0,0
Joevin Jones\Joevin-Jones,33,tt TRI,RWDM,SEA,4,64,15,19,78.9,216,51,2,3,66.7,12,14,85.7,1,2,50,1,0.1,2,0,0,0,0
Jordy Delem\Jordy-Delem,21,mq MTQ,DMCM,SEA,4,26,6,6,100,113,78,0,0,,4,4,100,2,2,100,0,0,0,0,0,0,1
Nicolás Lodeiro\Nicolas-Lodeiro,10,uy URU,AM,SEA,4,90,28,39,71.8,442,191,1,4,25,23,29,79.3,4,6,66.7,2,0.6,4,4,0,0,6
Cristian Roldan\Cristian-Roldan,7,us USA,CMRW,SEA,4,90,18,30,60,280,78,0,3,0,17,22,77.3,1,5,20,0,0,0,0,0,0,0
Gustav Svensson\Gustav-Svensson,4,se SWE,DM,SEA,4,90,18,32,56.3,421,142,0,2,0,11,18,61.1,7,12,58.3,0,0,0,2,0,0,1
Brad Smith\Brad-Smith,11,au AUS,LBLW,SEA,4,88,24,28,85.7,376,93,1,1,100,20,21,95.2,3,6,50,0,0,0,0,1,0,2
Román Torres\Roman-Torres,29,pa PAN,CB,SEA,4,2,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0
Xavier Arreaga\Xavier-Arreaga,25,ec ECU,CB,SEA,4,90,20,24,83.3,396,109,0,0,,15,15,100,5,9,55.6,0,0,0,1,0,0,1
Kim Kee-hee\Kim-Kee-hee,20,kr KOR,CB,SEA,4,90,10,19,52.6,243,112,0,0,,5,6,83.3,5,13,38.5,0,0,0,1,0,0,1
Kelvin Leerdam\Kelvin-Leerdam,18,nl NED,RB,SEA,4,90,23,35,65.7,420,261,0,0,,18,22,81.8,5,13,38.5,0,0,0,1,0,0,5
Stefan Frei\Stefan-Frei,24,ch SUI,GK,SEA,4,90,15,27,55.6,526,329,0,0,,6,6,100,9,21,42.9,0,0,0,0,0,0,0
Carlos Vela\Carlos-Vela,10,mx MEX,FWRWAM,LAFC,4,90,22,36,61.1,395,145,0,3,0,19,24,79.2,3,9,33.3,0,0,1,0,2,0,5
Brian Rodríguez\Brian-Rodriguez,17,uy URU,LWRW,LAFC,4,53,21,26,80.8,351,99,0,0,,19,22,86.4,2,4,50,0,0,0,0,2,2,5
Adama Diomande\Adama-Diomande,99,no NOR,FW,LAFC,4,37,5,10,50,74,16,0,1,0,4,6,66.7,1,3,33.3,0,0,0,1,0,0,1
Diego Rossi\Diego-Rossi,9,uy URU,RWLWCM,LAFC,4,90,54,60,90,720,62,1,4,25,51,54,94.4,2,2,100,0,0,1,1,2,0,2
Lee Nguyen\Lee-Nguyen,24,us USA,CM,LAFC,4,77,53,56,94.6,810,250,1,2,50,45,46,97.8,7,8,87.5,0,0,0,5,4,0,10
Adrien Perez\Adrien-Perez,26,us USA,CM,LAFC,4,13,5,5,100,81,5,0,0,,5,5,100,0,0,,0,0,0,0,0,0,0
Latif Blessing\Latif-Blessing,7,gh GHA,CM,LAFC,4,45,19,25,76,277,57,0,2,0,18,21,85.7,1,2,50,0,0,0,2,0,0,1
Mark-Anthony Kaye\Mark-Anthony-Kaye,14,ca CAN,CMDM,LAFC,4,45,50,57,87.7,969,316,0,2,0,39,43,90.7,11,12,91.7,0,0.1,1,6,2,0,9
Eduard Atuesta\Eduard-Atuesta,20,co COL,DM,LAFC,4,90,91,98,92.9,1656,542,1,1,100,72,76,94.7,18,21,85.7,0,0.1,3,16,3,0,13
Jordan Harvey\Jordan-Harvey,2,us USA,LB,LAFC,4,90,82,99,82.8,1338,529,1,1,100,75,83,90.4,6,15,40,0,0,1,10,0,0,12
Eddie Segura\Eddie-Segura,4,co COL,CB,LAFC,4,90,70,76,92.1,1353,507,0,1,0,54,57,94.7,16,18,88.9,0,0,0,4,0,0,4
Walker Zimmerman\Walker-Zimmerman,25,us USA,CB,LAFC,4,90,48,55,87.3,940,422,0,0,,38,39,97.4,10,16,62.5,0,0,0,4,0,0,4
Tristan Blackmon\Tristan-Blackmon,27,us USA,RB,LAFC,4,90,58,66,87.9,1008,299,2,2,100,51,57,89.5,5,7,71.4,0,0,0,6,0,0,4
Tyler Miller\Tyler-Miller,1,us USA,GK,LAFC,4,90,27,29,93.1,588,344,0,0,,18,18,100,9,11,81.8,0,0,0,1,0,0,0
