,Minute,Player,Team,GameID,Outcome,xG,PSxG,Distance,Body Part,Notes,SCA1_Player,SCA1_Event,SCA2_Player,SCA2_Event
17,64,Christian Ramirez,LAFC,D 1-1,Wayward,0.04,No Input,11,Left Foot,No Input,No Input,No Input,No Input,No Input
18,72,Christian Ramirez,LAFC,D 1-1,Off Target,0.29,No Input,4,Right Foot,First touch Volley,Diego Rossi,Pass (Live),Carlos Vela,Pass (Live)
19,75,Nicolás Lodeiro,SEA,D 1-1,Saved,0.02,0.14,23,Left Foot,First touch Half volley,Alex Roldan,Pass (Live),Jordan Morris,Pass (Live)
20,79,Adrien Perez,LAFC,D 1-1,Off Target,0.54,No Input,4,Left Foot,First touch,Mohamed El Monir,Pass (Live),Carlos Vela,Pass (Live)
21,83,Román Torres,SEA,D 1-1,Saved,0.05,0.19,9,Head,No Input,Nicolás Lodeiro,Pass (Dead),No Input,No Input
22,85,Diego Rossi,LAFC,D 1-1,Off Target,0.02,No Input,26,Right Foot,No Input,Diego Rossi,Dribble,Adrien Perez,Pass (Live)
23,87,Mohamed El Monir,LAFC,D 1-1,Saved,0.03,0.04,13,Left Foot,No Input,Diego Rossi,Pass (Live),Mohamed El Monir,Pass (Live)
24,90,Carlos Vela,LAFC,D 1-1,Blocked,0.04,No Input,13,Right Foot,First touch,Mark-Anthony Kaye,Pass (Live),Carlos Vela,Pass (Live)
25,91,Jordan Morris,SEA,D 1-1,Wayward,0.35,No Input,5,Right Foot,First touch,No Input,No Input,No Input,No Input
26,98,Carlos Vela,LAFC,D 1-1,Off Target,0.09,No Input,20,Left Foot,Free kick,Diego Rossi,Fouled,Carlos Vela,Pass (Live)
0,9,Raúl Ruidíaz,SEA,W 3-1,Saved,0.04,0.11,24,Right Foot,First touch,Joevin Jones,Pass (Live),Nicolás Lodeiro,Pass (Live)
1,17,Eduard Atuesta,LAFC,W 3-1,Goal,0.05,0.22,28,Right Foot,Free kick,Carlos Vela,Fouled,Carlos Vela,Dribble
2,18,Xavier Arreaga,SEA,W 3-1,Wayward,0.06,No Input,10,Head,No Input,Nicolás Lodeiro,Pass (Dead),Brad Smith,Fouled
3,19,Brian Rodríguez,LAFC,W 3-1,Saved,0.05,0.09,11,Right Foot,No Input,No Input,No Input,No Input,No Input
4,20,Latif Blessing,LAFC,W 3-1,Blocked,0.04,No Input,20,Right Foot,First touch,Brian Rodríguez,Shot,No Input,No Input
5,22,Raúl Ruidíaz,SEA,W 3-1,Goal,0.38,0.55,16,Right Foot,No Input,Raúl Ruidíaz,Dribble,Nicolás Lodeiro,Pass (Live)
6,26,Nicolás Lodeiro,SEA,W 3-1,Goal,0.07,0.25,22,Left Foot,No Input,Joevin Jones,Pass (Live),Raúl Ruidíaz,Pass (Live)
7,37,Diego Rossi,LAFC,W 3-1,Off Target,0.04,No Input,18,Left Foot,No Input,No Input,No Input,No Input,No Input
8,39,Raúl Ruidíaz,SEA,W 3-1,Off Target,0.05,No Input,25,Right Foot,No Input,Raúl Ruidíaz,Dribble,Nicolás Lodeiro,Pass (Live)
9,45.4,Carlos Vela,LAFC,W 3-1,Blocked,0.13,No Input,13,Left Foot,First touch,Brian Rodríguez,Pass (Live),Carlos Vela,Pass (Live)
10,54,Tristan Blackmon,LAFC,W 3-1,Off Target,0.04,No Input,24,Right Foot,No Input,No Input,No Input,No Input,No Input
11,57,Raúl Ruidíaz,SEA,W 3-1,Off Target,0.03,No Input,21,Left Foot,First touch Volley,Jordan Morris,Pass (Live),Nicolás Lodeiro,Pass (Live)
12,57,Nicolás Lodeiro,SEA,W 3-1,Off Target,0.02,No Input,48,Left Foot,No Input,No Input,No Input,No Input,No Input
13,58,Carlos Vela,LAFC,W 3-1,Saved,0.01,0.06,31,Left Foot,No Input,Diego Rossi,Pass (Live),Jordan Harvey,Pass (Live)
14,64,Raúl Ruidíaz,SEA,W 3-1,Goal,0.1,0.14,21,Right Foot,No Input,Nicolás Lodeiro,Pass (Live),No Input,No Input
15,68,Cristian Roldan,SEA,W 3-1,Off Target,0.02,No Input,20,Right Foot,First touch Volley,No Input,No Input,No Input,No Input
16,69,Eddie Segura,LAFC,W 3-1,Saved,0.09,0.29,6,Head,No Input,No Input,No Input,No Input,No Input
17,75,Diego Rossi,LAFC,W 3-1,Blocked,0.02,No Input,22,Right Foot,No Input,Eduard Atuesta,Pass (Live),Eduard Atuesta,Dribble
18,76,Adama Diomande,LAFC,W 3-1,Off Target,0.02,No Input,19,Left Foot,No Input,Jordan Harvey,Pass (Live),Eduard Atuesta,Pass (Live)
19,77,Brad Smith,SEA,W 3-1,Off Target,0.07,No Input,17,Left Foot,First touch,Raúl Ruidíaz,Pass (Live),Raúl Ruidíaz,Dribble
20,78,Adama Diomande,LAFC,W 3-1,Off Target,0.1,No Input,8,Right Foot,Half volley,Eduard Atuesta,Pass (Live),Walker Zimmerman,Pass (Live)
21,82,Eduard Atuesta,LAFC,W 3-1,Off Target,0.05,No Input,31,Right Foot,Free kick,Carlos Vela,Fouled,Adama Diomande,Pass (Live)
22,87,Brad Smith,SEA,W 3-1,Off Target,0.05,No Input,16,Left Foot,No Input,Raúl Ruidíaz,Pass (Live),No Input,No Input
23,91,Adama Diomande,LAFC,W 3-1,Off Target,0.07,No Input,13,Right Foot,First touch Half volley,Mark-Anthony Kaye,Pass (Live),Eduard Atuesta,Pass (Live)
24,92,Adrien Perez,LAFC,W 3-1,Blocked,0.02,No Input,28,Left Foot,No Input,Eduard Atuesta,Pass (Live),Eddie Segura,Pass (Live)
25,93,Adrien Perez,LAFC,W 3-1,Wayward,0.03,No Input,16,Right Foot,First touch Volley,Carlos Vela,Pass (Dead),Adrien Perez,Shot
26,93,Nouhou Tolo,SEA,W 3-1,Saved,0.34,0.34,16,Right Foot,No Input,Raúl Ruidíaz,Pass (Live),Raúl Ruidíaz,Fouled
