Player,#,Nation,Pos,Team,GameID,Min,PassAtt,PassLive,PassDead,FK,ThrghBall,PassUndrPress,Switch,Cross,CrnrTotal,Crnr_In,Crnr_Out,Crnr_Str,Hght_Ground,Hght_Low,Hght_High,Left_ft,Right_ft,Head,ThrowIn,OthrBdyParts,PassCmpltd,PassToOffside,PassToOutOfBnds,PassIntercepted,PassBlocked
Jordan Morris\Jordan-Morris,13,us USA,FW,SEA,3,90,15,12,3,0,0,4,0,0,0,0,0,0,10,4,1,0,11,1,2,0,13,0,0,0,0
Saad Abdul-Salaam\Saad-Abdul-Salaam,12,us USA,FW,SEA,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Handwalla Bwana\Handwalla-Bwana,70,ae UAE,LW,SEA,3,79,19,19,0,0,0,9,0,0,0,0,0,0,15,4,0,5,13,0,0,1,12,0,0,1,2
Henry Wingo\Henry-Wingo,23,us USA,LW,SEA,3,11,3,3,0,0,0,2,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0
Harry Shipp\Harry-Shipp,19,us USA,RW,SEA,3,70,15,15,0,0,0,6,0,0,0,0,0,0,11,2,2,1,13,0,0,0,9,0,1,0,0
Alex Roldan\Alex-Roldan,16,us USA,RW,SEA,3,20,10,10,0,0,0,3,0,0,0,0,0,0,5,3,2,0,7,3,0,0,4,0,0,0,0
Nicolás Lodeiro\Nicolas-Lodeiro,10,uy URU,AM,SEA,3,90,37,30,7,1,0,18,0,5,5,2,3,0,19,6,12,29,4,3,0,0,19,0,1,5,2
Cristian Roldan\Cristian-Roldan,7,us USA,CM,SEA,3,17,3,3,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,2,0,0,2,0,0,0,0
Jordy Delem\Jordy-Delem,21,mq MTQ,CM,SEA,3,90,25,24,1,1,0,6,0,0,0,0,0,0,14,5,6,4,15,3,0,0,16,0,0,1,0
Brad Smith\Brad-Smith,11,au AUS,LB,SEA,3,90,33,22,11,0,0,7,0,1,0,0,0,0,16,12,5,20,1,1,11,0,22,0,0,2,5
Kim Kee-hee\Kim-Kee-hee,20,kr KOR,CB,SEA,3,90,24,22,2,2,0,9,0,0,0,0,0,0,15,3,6,5,17,2,0,0,18,0,2,2,0
Román Torres\Roman-Torres,29,pa PAN,CB,SEA,3,90,18,17,1,1,0,4,0,0,0,0,0,0,8,4,6,1,15,2,0,0,14,0,0,0,0
Kelvin Leerdam\Kelvin-Leerdam,18,nl NED,RB,SEA,3,89,21,16,5,0,0,9,0,0,0,0,0,0,10,2,9,2,13,0,5,0,14,0,1,0,1
Stefan Frei\Stefan-Frei,24,ch SUI,GK,SEA,3,90,38,12,26,5,0,1,2,0,0,0,0,0,1,0,37,3,28,0,0,1,15,0,1,0,0
Christian Ramirez\Christian-Ramirez,21,us USA,FW,LAFC,3,77,10,8,2,0,0,1,1,0,0,0,0,0,6,3,1,1,8,0,0,0,7,0,1,0,0
Adrien Perez\Adrien-Perez,26,us USA,RWFW,LAFC,3,13,7,7,0,0,0,0,0,0,0,0,0,0,6,1,0,5,2,0,0,0,5,0,0,0,0
Diego Rossi\Diego-Rossi,9,uy URU,LWRW,LAFC,3,90,56,56,0,0,1,6,1,1,0,0,0,0,45,9,2,6,49,0,0,1,50,1,2,0,1
Carlos Vela\Carlos-Vela,10,mx MEX,RWFWLW,LAFC,3,90,63,52,11,5,1,8,4,7,4,1,0,3,31,13,19,56,5,0,2,0,46,1,2,1,3
Mark-Anthony Kaye\Mark-Anthony-Kaye,14,ca CAN,CM,LAFC,3,90,72,71,1,0,1,4,1,1,0,0,0,0,49,16,7,55,16,0,1,0,62,0,2,4,1
Latif Blessing\Latif-Blessing,7,gh GHA,CMRB,LAFC,3,90,69,66,3,0,0,4,0,1,0,0,0,0,45,18,6,7,58,1,3,0,60,0,1,2,4
Eduard Atuesta\Eduard-Atuesta,20,co COL,DM,LAFC,3,90,111,108,3,3,0,10,1,0,0,0,0,0,80,16,15,13,95,1,0,0,98,0,3,3,1
Jordan Harvey\Jordan-Harvey,2,us USA,LB,LAFC,3,70,65,60,5,1,0,6,1,3,0,0,0,0,42,10,13,48,9,1,4,1,59,0,0,0,1
Mohamed El Monir\Mohamed-El-Monir,13,ly LBY,LB,LAFC,3,20,20,20,0,0,0,4,2,1,0,0,0,0,8,8,4,16,1,0,0,0,11,0,2,0,1
Eddie Segura\Eddie-Segura,4,co COL,CB,LAFC,3,90,82,81,1,1,0,5,0,0,0,0,0,0,53,19,10,27,47,7,0,0,76,0,0,0,1
Walker Zimmerman\Walker-Zimmerman,25,us USA,CB,LAFC,3,90,61,61,0,0,0,6,1,0,0,0,0,0,36,10,15,11,43,6,0,0,54,0,1,0,1
Tristan Blackmon\Tristan-Blackmon,27,us USA,RB,LAFC,3,45,55,48,7,1,0,5,0,0,0,0,0,0,37,9,9,12,33,4,6,0,50,0,0,0,1
Lee Nguyen\Lee-Nguyen,24,us USA,CM,LAFC,3,45,37,37,0,0,1,3,0,0,0,0,0,0,25,7,5,0,36,1,0,0,33,1,0,0,0
Tyler Miller\Tyler-Miller,1,us USA,GK,LAFC,3,90,18,15,3,1,0,0,1,0,0,0,0,0,14,1,3,3,9,0,0,6,17,0,0,0,0
