Player,#,Nation,Pos,Team,GameID,Min,Touches,TchDefPen,TchDef_3rd,TchMid_3rd,TchAtt_3rd,TchAtt_Pen,TchLive,DrblSucc,DrblAtt,DrblSucc%,DrblPast#Pl,DrblMegs,Carries,CarriesTotDist,CarriesPrgDist,PassTarget,PassRec,PassRec%,Miscontrol,Dispos
Raúl Ruidíaz\Raul-Ruidiaz,9,pe PER,FW,SEA,4,90,41,0,5,23,16,5,39,8,9,88.9,8,1,38,249,96,46,28,60.9,4,2
Jordan Morris\Jordan-Morris,13,us USA,LWCM,SEA,4,76,39,3,14,17,11,5,38,1,2,50,1,0,31,212,149,29,24,82.8,1,2
Nouhou Tolo\Nouhou-Tolo,5,cm CMR,LBWBCM,SEA,4,14,6,0,4,2,1,1,6,0,1,0,0,0,3,39,34,4,4,100,0,0
Joevin Jones\Joevin-Jones,33,tt TRI,RWDM,SEA,4,64,20,0,5,10,8,0,20,1,1,100,1,0,16,163,93,19,15,78.9,1,0
Jordy Delem\Jordy-Delem,21,mq MTQ,DMCM,SEA,4,26,6,0,3,3,0,0,6,0,0,,0,0,3,1,0,5,5,100,0,0
Nicolás Lodeiro\Nicolas-Lodeiro,10,uy URU,AM,SEA,4,90,62,2,11,35,20,0,59,0,2,0,0,0,36,166,74,52,41,78.8,2,4
Cristian Roldan\Cristian-Roldan,7,us USA,CMRW,SEA,4,90,48,4,27,21,3,1,47,3,3,100,3,0,34,124,32,36,23,63.9,3,0
Gustav Svensson\Gustav-Svensson,4,se SWE,DM,SEA,4,90,48,4,20,26,4,0,41,0,0,,0,0,13,44,24,14,13,92.9,0,0
Brad Smith\Brad-Smith,11,au AUS,LBLW,SEA,4,88,43,3,19,14,16,4,38,2,4,50,2,0,24,222,177,29,22,75.9,3,0
Román Torres\Roman-Torres,29,pa PAN,CB,SEA,4,2,1,0,0,1,0,0,1,0,0,,0,0,0,0,0,0,0,,0,0
Xavier Arreaga\Xavier-Arreaga,25,ec ECU,CB,SEA,4,90,38,11,29,9,2,1,37,0,0,,0,0,13,65,45,14,14,100,0,0
Kim Kee-hee\Kim-Kee-hee,20,kr KOR,CB,SEA,4,90,22,5,17,5,0,0,21,0,0,,0,0,11,61,32,10,10,100,0,0
Kelvin Leerdam\Kelvin-Leerdam,18,nl NED,RB,SEA,4,90,52,13,26,21,7,0,44,0,0,,0,0,19,99,58,26,19,73.1,1,1
Stefan Frei\Stefan-Frei,24,ch SUI,GK,SEA,4,90,31,30,31,0,0,0,18,0,0,,0,0,5,58,24,4,4,100,0,0
Carlos Vela\Carlos-Vela,10,mx MEX,FWRWAM,LAFC,4,90,59,1,4,21,41,9,50,4,6,66.7,5,0,41,409,214,56,42,75,6,4
Brian Rodríguez\Brian-Rodriguez,17,uy URU,LWRW,LAFC,4,53,40,0,2,6,32,4,38,3,9,33.3,5,0,38,258,171,38,33,86.8,1,3
Adama Diomande\Adama-Diomande,99,no NOR,FW,LAFC,4,37,19,0,0,11,9,4,17,1,2,50,1,1,14,86,71,18,12,66.7,3,2
Diego Rossi\Diego-Rossi,9,uy URU,RWLWCM,LAFC,4,90,77,0,6,27,48,7,77,6,9,66.7,6,0,75,429,227,81,67,82.7,4,5
Lee Nguyen\Lee-Nguyen,24,us USA,CM,LAFC,4,77,62,1,8,43,19,2,61,1,2,50,2,1,51,297,109,56,51,91.1,1,1
Adrien Perez\Adrien-Perez,26,us USA,CM,LAFC,4,13,7,0,0,2,5,2,7,1,1,100,1,0,5,44,20,7,6,85.7,0,0
Latif Blessing\Latif-Blessing,7,gh GHA,CM,LAFC,4,45,34,0,5,19,12,2,34,3,6,50,5,0,28,145,50,26,25,96.2,0,3
Mark-Anthony Kaye\Mark-Anthony-Kaye,14,ca CAN,CMDM,LAFC,4,45,62,0,8,42,18,1,59,1,1,100,1,0,47,197,132,53,48,90.6,0,1
Eduard Atuesta\Eduard-Atuesta,20,co COL,DM,LAFC,4,90,114,2,23,75,27,0,107,3,3,100,3,0,86,431,189,87,82,94.3,2,4
Jordan Harvey\Jordan-Harvey,2,us USA,LB,LAFC,4,90,106,2,23,57,33,3,96,0,0,,0,0,66,310,145,73,71,97.3,1,1
Eddie Segura\Eddie-Segura,4,co COL,CB,LAFC,4,90,83,5,38,47,4,3,80,0,0,,0,0,58,361,257,67,65,97,1,0
Walker Zimmerman\Walker-Zimmerman,25,us USA,CB,LAFC,4,90,64,6,22,42,2,1,63,0,0,,0,0,29,177,105,36,36,100,0,0
Tristan Blackmon\Tristan-Blackmon,27,us USA,RB,LAFC,4,90,75,0,14,48,19,2,69,2,3,66.7,3,1,52,211,118,58,54,93.1,1,0
Tyler Miller\Tyler-Miller,1,us USA,GK,LAFC,4,90,32,23,32,0,0,0,22,0,0,,0,0,13,54,24,13,13,100,0,0
