Player,#,Nation,Pos,Team,GameID,Min,Tkl,TklW,Tkl_in_Def_3rd,Tkl_in_Mid_3rd,Tkl_in_Att_3rd,Tkl_OppDrbl,Tkl_OppDrbl_Att,Tkl_OppDrbl%,PastByOppDrbl,AplyingPress,Succ_Press,Succ_Press%,Press_Def 3rd,Press_Mid 3rd,Press_Att 3rd,Blocks,BlockedShots,BlockedShotsOnTrgt,BlockedPass,Interception,Clearance,DefenseError
Jordan Morris\Jordan-Morris,13,us USA,FW,SEA,2,68,1,0,0,1,0,1,1,100,0,3,2,66.7,0,2,1,0,0,0,0,0,0,0
Henry Wingo\Henry-Wingo,23,us USA,FW,SEA,2,22,0,0,0,0,0,0,0,,0,4,1,25,1,2,1,0,0,0,0,0,0,0
Víctor Rodríguez\Victor-Rodriguez,8,es ESP,LW,SEA,2,64,0,0,0,0,0,0,2,0,2,2,0,0,1,1,0,1,0,0,1,2,0,0
Nouhou Tolo\Nouhou-Tolo,5,cm CMR,LBLW,SEA,2,26,0,0,0,0,0,0,0,,0,2,0,0,1,1,0,1,1,0,0,0,1,0
Harry Shipp\Harry-Shipp,19,us USA,RW,SEA,2,90,0,0,0,0,0,0,1,0,1,9,2,22.2,3,4,2,1,0,0,1,0,0,0
Nicolás Lodeiro\Nicolas-Lodeiro,10,uy URU,AM,SEA,2,90,2,2,0,1,1,0,2,0,2,18,7,38.9,2,9,7,1,0,0,1,2,0,0
Cristian Roldan\Cristian-Roldan,7,us USA,CM,SEA,2,90,6,6,2,4,0,2,4,50,2,17,8,47.1,5,9,3,1,0,0,1,0,0,0
Gustav Svensson\Gustav-Svensson,4,se SWE,CMCB,SEA,2,90,6,5,3,3,0,1,3,33.3,2,12,3,25,2,10,0,2,0,0,2,1,2,0
Brad Smith\Brad-Smith,11,au AUS,LBLW,SEA,2,90,2,0,2,0,0,1,4,25,3,9,2,22.2,6,1,2,0,0,0,0,0,0,0
Kim Kee-hee\Kim-Kee-hee,20,kr KOR,CB,SEA,2,64,2,2,1,1,0,1,2,50,1,8,2,25,5,3,0,2,0,0,2,2,2,0
Jordy Delem\Jordy-Delem,21,mq MTQ,CM,SEA,2,26,1,0,1,0,0,0,0,,0,4,1,25,2,2,0,2,1,0,1,1,0,0
Román Torres\Roman-Torres,29,pa PAN,CB,SEA,2,90,2,1,1,1,0,1,3,33.3,2,7,1,14.3,4,2,1,1,0,0,1,1,5,0
Kelvin Leerdam\Kelvin-Leerdam,18,nl NED,RB,SEA,2,90,3,2,0,3,0,1,1,100,0,7,1,14.3,2,3,2,0,0,0,0,1,2,0
Stefan Frei\Stefan-Frei,24,ch SUI,GK,SEA,2,90,0,0,0,0,0,0,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0
Christian Ramirez\Christian-Ramirez,21,us USA,FW,LAFC,2,80,1,1,1,0,0,0,0,,0,10,3,30,1,2,7,3,2,0,1,0,1,0
Adrien Perez\Adrien-Perez,26,us USA,RWFW,LAFC,2,10,0,0,0,0,0,0,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Diego Rossi\Diego-Rossi,9,uy URU,LW,LAFC,2,90,0,0,0,0,0,0,3,0,3,25,9,36,3,9,13,2,0,0,2,0,1,0
Carlos Vela\Carlos-Vela,10,mx MEX,RWFW,LAFC,2,90,2,1,0,2,0,1,2,50,1,6,2,33.3,1,4,1,0,0,0,0,1,0,0
Mark-Anthony Kaye\Mark-Anthony-Kaye,14,ca CAN,CM,LAFC,2,90,3,1,1,2,0,2,4,50,2,26,7,26.9,7,14,5,3,0,0,3,2,1,0
Latif Blessing\Latif-Blessing,7,gh GHA,CMRB,LAFC,2,90,3,2,0,3,0,0,0,,0,22,7,31.8,11,8,3,2,0,0,2,2,1,0
Eduard Atuesta\Eduard-Atuesta,20,co COL,DM,LAFC,2,89,3,1,0,1,2,2,5,40,3,17,4,23.5,8,8,1,3,0,0,3,1,2,0
Peter-Lee Vassell\Peter-Lee-Vassell,11,jm JAM,DM,LAFC,2,1,0,0,0,0,0,0,0,,0,2,1,50,0,2,0,0,0,0,0,1,0,0
Jordan Harvey\Jordan-Harvey,2,us USA,LB,LAFC,2,90,3,2,3,0,0,1,1,100,0,6,2,33.3,2,2,2,5,0,0,5,1,4,0
Eddie Segura\Eddie-Segura,4,co COL,CB,LAFC,2,90,1,1,0,1,0,0,1,0,1,7,1,14.3,1,5,1,0,0,0,0,0,9,0
Walker Zimmerman\Walker-Zimmerman,25,us USA,CB,LAFC,2,90,0,0,0,0,0,0,0,,0,2,0,0,2,0,0,0,0,0,0,1,11,0
Steven Beitashour\Steven-Beitashour,3,ir IRN,RB,LAFC,2,80,2,2,1,1,0,2,3,66.7,1,11,4,36.4,3,5,3,3,0,0,3,2,2,0
Lee Nguyen\Lee-Nguyen,24,us USA,CMRB,LAFC,2,10,0,0,0,0,0,0,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Tyler Miller\Tyler-Miller,1,us USA,GK,LAFC,2,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0
