Player,#,Nation,Pos,Team,GameID,Min,Tkl,TklW,Tkl_in_Def_3rd,Tkl_in_Mid_3rd,Tkl_in_Att_3rd,Tkl_OppDrbl,Tkl_OppDrbl_Att,Tkl_OppDrbl%,PastByOppDrbl,AplyingPress,Succ_Press,Succ_Press%,Press_Def 3rd,Press_Mid 3rd,Press_Att 3rd,Blocks,BlockedShots,BlockedShotsOnTrgt,BlockedPass,Interception,Clearance,DefenseError
Raúl Ruidíaz\Raul-Ruidiaz,9,pe PER,FW,SEA,4,90,2,2,1,0,1,0,2,0,2,19,7,36.8,4,11,4,0,0,0,0,0,0,0
Jordan Morris\Jordan-Morris,13,us USA,LWCM,SEA,4,76,3,3,3,0,0,1,7,14.3,6,16,9,56.3,6,10,0,1,0,0,1,0,2,0
Nouhou Tolo\Nouhou-Tolo,5,cm CMR,LBWBCM,SEA,4,14,0,0,0,0,0,0,1,0,1,4,0,0,2,1,1,0,0,0,0,1,1,0
Joevin Jones\Joevin-Jones,33,tt TRI,RWDM,SEA,4,64,0,0,0,0,0,0,2,0,2,9,4,44.4,4,2,3,0,0,0,0,0,0,0
Jordy Delem\Jordy-Delem,21,mq MTQ,DMCM,SEA,4,26,0,0,0,0,0,0,0,,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Nicolás Lodeiro\Nicolas-Lodeiro,10,uy URU,AM,SEA,4,90,5,3,1,2,2,0,5,0,5,47,7,14.9,10,29,8,4,1,0,3,2,2,0
Cristian Roldan\Cristian-Roldan,7,us USA,CMRW,SEA,4,90,6,5,6,0,0,3,7,42.9,4,22,9,40.9,10,10,2,2,0,0,2,2,2,0
Gustav Svensson\Gustav-Svensson,4,se SWE,DM,SEA,4,90,7,5,3,3,1,1,3,33.3,2,28,8,28.6,15,13,0,3,1,0,2,1,7,0
Brad Smith\Brad-Smith,11,au AUS,LBLW,SEA,4,88,3,2,2,0,1,1,7,14.3,6,18,4,22.2,10,5,3,1,0,0,1,2,2,0
Román Torres\Roman-Torres,29,pa PAN,CB,SEA,4,2,0,0,0,0,0,0,0,,0,1,0,0,0,1,0,0,0,0,0,0,1,0
Xavier Arreaga\Xavier-Arreaga,25,ec ECU,CB,SEA,4,90,2,1,2,0,0,1,4,25,3,10,2,20,10,0,0,1,1,0,0,2,8,0
Kim Kee-hee\Kim-Kee-hee,20,kr KOR,CB,SEA,4,90,0,0,0,0,0,0,0,,0,4,1,25,4,0,0,0,0,0,0,0,2,0
Kelvin Leerdam\Kelvin-Leerdam,18,nl NED,RB,SEA,4,90,6,4,5,1,0,3,4,75,1,18,6,33.3,10,4,4,2,1,0,1,3,7,0
Stefan Frei\Stefan-Frei,24,ch SUI,GK,SEA,4,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0
Carlos Vela\Carlos-Vela,10,mx MEX,FWRWAM,LAFC,4,90,1,0,0,0,1,1,2,50,1,5,0,0,0,1,4,2,0,0,2,0,0,0
Brian Rodríguez\Brian-Rodriguez,17,uy URU,LWRW,LAFC,4,53,1,1,0,0,1,0,0,,0,10,2,20,0,3,7,2,0,0,2,0,0,0
Adama Diomande\Adama-Diomande,99,no NOR,FW,LAFC,4,37,0,0,0,0,0,0,0,,0,3,0,0,0,2,1,0,0,0,0,0,0,0
Diego Rossi\Diego-Rossi,9,uy URU,RWLWCM,LAFC,4,90,2,0,1,0,1,1,2,50,1,11,6,54.5,2,2,7,1,0,0,1,0,0,0
Lee Nguyen\Lee-Nguyen,24,us USA,CM,LAFC,4,77,0,0,0,0,0,0,0,,0,10,3,30,3,7,0,1,0,0,1,0,0,0
Adrien Perez\Adrien-Perez,26,us USA,CM,LAFC,4,13,0,0,0,0,0,0,0,,0,4,2,50,0,2,2,0,0,0,0,0,0,0
Latif Blessing\Latif-Blessing,7,gh GHA,CM,LAFC,4,45,0,0,0,0,0,0,2,0,2,5,1,20,1,2,2,1,0,0,1,2,0,0
Mark-Anthony Kaye\Mark-Anthony-Kaye,14,ca CAN,CMDM,LAFC,4,45,2,2,1,1,0,0,1,0,1,11,4,36.4,3,6,2,1,0,0,1,1,1,1
Eduard Atuesta\Eduard-Atuesta,20,co COL,DM,LAFC,4,90,2,2,0,2,0,0,5,0,5,18,6,33.3,5,11,2,3,0,0,3,6,3,0
Jordan Harvey\Jordan-Harvey,2,us USA,LB,LAFC,4,90,1,1,1,0,0,1,2,50,1,9,6,66.7,3,5,1,1,0,0,1,2,1,0
Eddie Segura\Eddie-Segura,4,co COL,CB,LAFC,4,90,1,1,0,1,0,0,2,0,2,15,4,26.7,8,7,0,0,0,0,0,1,3,0
Walker Zimmerman\Walker-Zimmerman,25,us USA,CB,LAFC,4,90,4,4,2,2,0,3,5,60,2,9,4,44.4,4,4,1,1,0,0,1,1,3,0
Tristan Blackmon\Tristan-Blackmon,27,us USA,RB,LAFC,4,90,1,1,0,1,0,0,0,,0,10,3,30,4,4,2,1,0,0,1,2,0,0
Tyler Miller\Tyler-Miller,1,us USA,GK,LAFC,4,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0
