Player,#,Nation,Pos,Team,GameID,Min,PassAtt,PassLive,PassDead,FK,ThrghBall,PassUndrPress,Switch,Cross,CrnrTotal,Crnr_In,Crnr_Out,Crnr_Str,Hght_Ground,Hght_Low,Hght_High,Left_ft,Right_ft,Head,ThrowIn,OthrBdyParts,PassCmpltd,PassToOffside,PassToOutOfBnds,PassIntercepted,PassBlocked
Raúl Ruidíaz\Raul-Ruidiaz,9,pe PER,FW,SEA,4,90,28,26,2,0,0,6,1,1,0,0,0,0,18,7,3,8,19,0,0,1,23,0,0,2,1
Jordan Morris\Jordan-Morris,13,us USA,LWCM,SEA,4,76,28,27,1,0,0,2,0,0,0,0,0,0,20,6,2,1,25,0,1,1,21,0,1,1,2
Nouhou Tolo\Nouhou-Tolo,5,cm CMR,LBWBCM,SEA,4,14,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0
Joevin Jones\Joevin-Jones,33,tt TRI,RWDM,SEA,4,64,19,19,0,0,0,6,1,1,0,0,0,0,14,4,1,11,7,0,0,0,15,1,0,0,1
Jordy Delem\Jordy-Delem,21,mq MTQ,DMCM,SEA,4,26,6,6,0,0,0,3,0,0,0,0,0,0,2,1,3,0,5,1,0,0,6,0,0,0,0
Nicolás Lodeiro\Nicolas-Lodeiro,10,uy URU,AM,SEA,4,90,39,36,3,1,0,8,1,2,2,1,0,0,23,6,10,26,9,1,0,1,28,1,0,1,4
Cristian Roldan\Cristian-Roldan,7,us USA,CMRW,SEA,4,90,30,29,1,0,0,3,0,0,0,0,0,0,16,7,7,3,24,2,1,0,18,1,1,1,2
Gustav Svensson\Gustav-Svensson,4,se SWE,DM,SEA,4,90,32,25,7,7,0,6,2,0,0,0,0,0,19,2,11,1,26,5,0,0,18,0,1,0,2
Brad Smith\Brad-Smith,11,au AUS,LBLW,SEA,4,88,28,23,5,0,0,5,2,2,0,0,0,0,18,6,4,15,6,1,5,1,24,0,0,1,0
Román Torres\Roman-Torres,29,pa PAN,CB,SEA,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xavier Arreaga\Xavier-Arreaga,25,ec ECU,CB,SEA,4,90,24,23,1,0,0,2,0,0,0,0,0,0,13,5,6,6,14,1,1,0,20,0,1,0,0
Kim Kee-hee\Kim-Kee-hee,20,kr KOR,CB,SEA,4,90,19,18,1,1,0,1,0,0,0,0,0,0,6,6,7,3,14,2,0,0,10,0,0,2,0
Kelvin Leerdam\Kelvin-Leerdam,18,nl NED,RB,SEA,4,90,35,27,8,0,0,8,0,1,0,0,0,0,15,9,11,1,22,3,8,0,23,0,0,1,2
Stefan Frei\Stefan-Frei,24,ch SUI,GK,SEA,4,90,27,14,13,1,0,1,0,0,0,0,0,0,5,2,20,3,17,0,0,2,15,0,0,0,0
Carlos Vela\Carlos-Vela,10,mx MEX,FWRWAM,LAFC,4,90,36,27,9,0,0,7,2,11,6,2,2,2,23,1,12,32,3,0,0,1,22,0,0,2,2
Brian Rodríguez\Brian-Rodriguez,17,uy URU,LWRW,LAFC,4,53,26,24,2,0,0,2,1,2,2,1,0,0,22,1,3,1,25,0,0,0,21,0,0,1,0
Adama Diomande\Adama-Diomande,99,no NOR,FW,LAFC,4,37,10,8,2,0,0,3,1,1,1,1,0,0,4,3,3,1,6,1,0,0,5,0,0,0,1
Diego Rossi\Diego-Rossi,9,uy URU,RWLWCM,LAFC,4,90,60,60,0,0,0,10,1,1,0,0,0,0,51,6,3,7,52,0,0,0,54,0,0,2,2
Lee Nguyen\Lee-Nguyen,24,us USA,CM,LAFC,4,77,56,55,1,1,1,9,0,0,0,0,0,0,44,6,6,4,52,0,0,0,53,0,0,1,1
Adrien Perez\Adrien-Perez,26,us USA,CM,LAFC,4,13,5,5,0,0,0,1,0,0,0,0,0,0,5,0,0,3,2,0,0,0,5,0,0,0,0
Latif Blessing\Latif-Blessing,7,gh GHA,CM,LAFC,4,45,25,25,0,0,0,1,0,0,0,0,0,0,21,2,2,3,22,0,0,0,19,0,0,1,1
Mark-Anthony Kaye\Mark-Anthony-Kaye,14,ca CAN,CMDM,LAFC,4,45,57,54,3,2,0,10,1,0,0,0,0,0,45,5,7,43,10,0,1,0,50,0,0,3,2
Eduard Atuesta\Eduard-Atuesta,20,co COL,DM,LAFC,4,90,98,93,5,4,2,18,2,0,0,0,0,0,79,8,11,12,82,3,1,0,91,0,2,1,0
Jordan Harvey\Jordan-Harvey,2,us USA,LB,LAFC,4,90,99,89,10,2,0,6,1,3,0,0,0,0,65,13,21,74,9,5,8,0,82,1,1,2,0
Eddie Segura\Eddie-Segura,4,co COL,CB,LAFC,4,90,76,73,3,1,0,6,0,0,0,0,0,0,65,5,6,30,42,1,2,1,70,0,0,1,1
Walker Zimmerman\Walker-Zimmerman,25,us USA,CB,LAFC,4,90,55,54,1,1,0,8,0,0,0,0,0,0,38,6,11,5,40,7,0,1,48,0,0,0,0
Tristan Blackmon\Tristan-Blackmon,27,us USA,RB,LAFC,4,90,66,60,6,0,0,7,0,0,0,0,0,0,51,11,4,7,50,3,6,0,58,0,1,1,0
Tyler Miller\Tyler-Miller,1,us USA,GK,LAFC,4,90,29,19,10,2,0,1,0,0,0,0,0,0,24,0,5,2,25,0,0,2,27,0,0,0,0
