Player,#,Nation,Pos,Team,GameID,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Pass_Cmp,Pass_Att,Pass_Cmp%,Pass_PrgDist,Carries,Carries_PrgDist,Dribble_Succ,Dribble_Att
Jordan Morris\Jordan-Morris,13,us USA,FW,SEA,2,68,0,0,0,0,0,0,0,0,21,3,1,0,0,0,0,0,0,0,16,17,94.1,18,17,29,2,2
Henry Wingo\Henry-Wingo,23,us USA,FW,SEA,2,22,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,2,3,66.7,11,5,44,0,1
Víctor Rodríguez\Victor-Rodriguez,8,es ESP,LW,SEA,2,64,0,1,0,0,0,0,0,0,33,2,0,2,1,0,0,0.4,2,1,14,20,70,86,26,147,1,3
Nouhou Tolo\Nouhou-Tolo,5,cm CMR,LBLW,SEA,2,26,0,0,0,0,0,0,0,0,16,2,0,0,1,0,0,0,0,0,11,13,84.6,38,11,30,1,2
Harry Shipp\Harry-Shipp,19,us USA,RW,SEA,2,90,1,0,0,0,2,1,0,0,35,9,0,0,1,0.3,0.3,0.1,1,0,17,27,63,135,25,29,0,0
Nicolás Lodeiro\Nicolas-Lodeiro,10,uy URU,AM,SEA,2,90,0,0,0,0,2,0,0,0,71,18,2,2,1,0.1,0.1,0,0,0,31,52,59.6,144,46,115,0,1
Cristian Roldan\Cristian-Roldan,7,us USA,CM,SEA,2,90,0,0,0,0,0,0,0,0,59,17,6,0,1,0,0,0,2,1,38,51,74.5,215,45,110,2,3
Gustav Svensson\Gustav-Svensson,4,se SWE,CMCB,SEA,2,90,0,0,0,0,0,0,0,0,49,12,6,1,2,0,0,0,0,0,36,39,92.3,209,31,97,0,0
Brad Smith\Brad-Smith,11,au AUS,LBLW,SEA,2,90,0,0,0,0,1,0,0,0,48,9,2,0,0,0,0,0,0,0,29,40,72.5,217,34,182,2,4
Kim Kee-hee\Kim-Kee-hee,20,kr KOR,CB,SEA,2,64,0,0,0,0,1,1,1,0,37,8,2,2,2,0,0,0,0,0,26,29,89.7,131,19,41,0,0
Jordy Delem\Jordy-Delem,21,mq MTQ,CM,SEA,2,26,0,0,0,0,0,0,1,0,22,4,1,1,2,0,0,0,1,0,16,19,84.2,98,14,20,1,1
Román Torres\Roman-Torres,29,pa PAN,CB,SEA,2,90,0,0,0,0,0,0,1,0,41,7,2,1,1,0,0,0,0,0,24,31,77.4,311,27,69,0,0
Kelvin Leerdam\Kelvin-Leerdam,18,nl NED,RB,SEA,2,90,0,0,0,0,0,0,1,0,49,7,3,1,0,0,0,0,1,0,34,44,77.3,156,30,61,2,2
Stefan Frei\Stefan-Frei,24,ch SUI,GK,SEA,2,90,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,20,32,62.5,478,16,50,0,0
Christian Ramirez\Christian-Ramirez,21,us USA,FW,LAFC,2,80,1,0,0,0,3,2,0,0,39,10,1,0,3,0.7,0.7,0.5,3,1,25,28,89.3,67,29,15,0,0
Adrien Perez\Adrien-Perez,26,us USA,RWFW,LAFC,2,10,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,1,2,50,26,2,22,0,0
Diego Rossi\Diego-Rossi,9,uy URU,LW,LAFC,2,90,0,0,0,0,2,1,0,0,64,25,0,0,2,0.3,0.3,0,1,0,43,48,89.6,172,59,263,2,4
Carlos Vela\Carlos-Vela,10,mx MEX,RWFW,LAFC,2,90,2,0,0,0,5,4,0,0,53,6,2,1,0,1.3,1.3,0,4,1,26,34,76.5,84,49,221,5,7
Mark-Anthony Kaye\Mark-Anthony-Kaye,14,ca CAN,CM,LAFC,2,90,0,3,0,0,2,0,0,0,79,26,3,2,3,0.2,0.2,0.4,8,1,48,58,82.8,384,58,125,1,3
Latif Blessing\Latif-Blessing,7,gh GHA,CMRB,LAFC,2,90,0,0,0,0,0,0,0,0,86,22,3,2,2,0,0,0.7,2,1,60,72,83.3,241,72,143,4,5
Eduard Atuesta\Eduard-Atuesta,20,co COL,DM,LAFC,2,89,1,1,0,0,1,1,1,0,90,17,3,1,3,0.2,0.2,0.9,6,3,71,77,92.2,383,64,144,1,2
Peter-Lee Vassell\Peter-Lee-Vassell,11,jm JAM,DM,LAFC,2,1,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,1,1,100,6,1,0,0,0
Jordan Harvey\Jordan-Harvey,2,us USA,LB,LAFC,2,90,0,0,0,0,1,0,0,0,77,6,3,1,5,0,0,0,2,0,59,66,89.4,473,48,86,0,1
Eddie Segura\Eddie-Segura,4,co COL,CB,LAFC,2,90,0,0,0,0,1,0,0,0,65,7,1,0,0,0.1,0.1,0,0,0,49,51,96.1,368,44,136,0,0
Walker Zimmerman\Walker-Zimmerman,25,us USA,CB,LAFC,2,90,0,0,0,0,0,0,0,0,74,2,0,1,0,0,0,0,0,0,54,60,90,387,42,104,0,0
Steven Beitashour\Steven-Beitashour,3,ir IRN,RB,LAFC,2,80,0,0,0,0,1,0,0,0,48,11,2,2,3,0,0,0,1,0,37,41,90.2,145,34,58,2,2
Lee Nguyen\Lee-Nguyen,24,us USA,CMRB,LAFC,2,10,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,18,18,100,38,19,20,0,0
Tyler Miller\Tyler-Miller,1,us USA,GK,LAFC,2,90,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,19,23,82.6,303,13,36,0,0
